,player,player_name,team,player_id,agents_count,agents,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,k_max,kills,deaths,assists,first_kills,first_deaths,kills_per_round,assist_per_rd,composite_score
41,leaf,leaf,G2,7873,2,"['Killjoy', 'Viper']",200,0.97,202.7,0.93,69.0,138.5,0.7,0.19,0.14,0.1,21.0,11.0,27,140,150,37,28,20,0.7,0.18,73.9
42,AAAAY,AAAAY,FPX,19530,2,"['Fade', 'Gekko']",115,0.97,181.8,1.05,68.0,122.8,0.7,0.17,0.08,0.05,31.0,6.0,27,81,77,20,9,6,0.7,0.17,45.15
43,benjyfishy,benjyfishy,TH,29873,3,"['Cypher', 'Viper', 'Killjoy']",552,0.96,190.3,1.02,69.0,127.9,0.7,0.18,0.08,0.12,36.0,16.0,24,388,380,99,46,65,0.7,0.18,156.61
44,BerLIN,BerLIN,FPX,7857,3,"['Omen', 'Astra', 'Breach']",115,0.96,178.6,0.92,69.0,118.5,0.62,0.36,0.1,0.08,26.0,7.0,20,71,77,41,11,9,0.62,0.36,44.03
45,trent,trent,G2,15500,3,"['Sova', 'Fade', 'Gekko']",200,0.96,195.9,0.89,68.0,132.5,0.65,0.31,0.09,0.11,30.0,10.0,20,130,146,61,18,21,0.65,0.3,69.12
46,Mazino,Mazino,LEV,7603,4,"['Skye', 'Deadlock', 'Breach', 'Harbor']",407,0.95,194.8,0.94,70.0,125.6,0.69,0.36,0.09,0.09,27.0,18.0,24,279,298,146,36,38,0.69,0.36,120.24
47,Munchkin,Munchkin,GEN,2489,2,"['Viper', 'Kayo']",153,0.95,191.6,0.84,78.0,127.3,0.6,0.49,0.1,0.08,24.0,8.0,21,92,109,75,15,13,0.6,0.49,54.92
48,f0rsakeN,f0rsakeN,PRX,9801,5,"['Sova', 'Kayo', 'Breach', 'Fade', 'Cypher']",140,0.95,181.9,0.93,68.0,121.9,0.67,0.3,0.05,0.11,37.0,19.0,21,94,101,42,7,16,0.67,0.3,52.18
49,FengF,FengF,TE,4770,3,"['Killjoy', 'Raze', 'Cypher']",208,0.95,203.1,1.02,67.0,132.4,0.71,0.1,0.13,0.14,29.0,15.0,21,147,144,21,28,29,0.71,0.1,74.92
50,BeYN,BeYN,DRX,4678,2,"['Sova', 'Fade']",238,0.95,175.6,0.97,73.0,115.2,0.64,0.26,0.05,0.09,25.0,28.0,18,153,158,63,12,22,0.64,0.26,70.77
51,qRaxs,qRaxs,FUT,1139,3,"['Breach', 'Fade', 'Gekko']",88,0.94,155.5,0.88,70.0,101.9,0.57,0.3,0.05,0.07,29.0,21.0,17,50,57,26,4,6,0.57,0.3,33.38
52,icy,icy,G2,8402,3,"['Gekko', 'Raze', 'Yoru']",200,0.93,183.2,0.88,67.0,124.5,0.65,0.21,0.12,0.13,30.0,19.0,24,129,147,42,23,25,0.64,0.21,69.71
53,nobody,nobody,EDG,3017,3,"['Fade', 'Gekko', 'Sova']",449,0.93,180.2,0.95,72.0,118.2,0.63,0.28,0.08,0.1,33.0,24.0,23,282,298,126,36,45,0.63,0.28,120.97
